DATE.ADDED.TO.CATALOG,PUBMEDID,FIRST.AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL.SAMPLE.SIZE,REPLICATION.SAMPLE.SIZE,REGION,CHR_ID,CHR_POS,REPORTED.GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST.SNP-RISK.ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK.ALLELE.FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE.(TEXT),OR.or.BETA,95%.CI.(TEXT),PLATFORM.[SNPS.PASSING.QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY.ACCESSION,GENOTYPING.TECHNOLOGY,hg38_pos,plink.lab
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1q21.2,1,147756741,"",GJA5,"","",ENSG00000265107,,,rs11240121-T,rs11240121,0,11240121,3_prime_UTR_variant,0,0.2581,4E-10,9.39794000867204,"",0.0433,[0.03-0.057] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:147756741,chr1:147756741:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1q21.3,1,154890476,"",KCNN3 - PMVK,ENSG00000143603,ENSG00000163344,"",20195,34264,rs11264280-T,rs11264280,0,11264280,intergenic_variant,1,0.3208,1E-89,89,"",0.1298,[0.12-0.14] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:154890476,chr1:154890476:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1q24.2,1,170659114,"",GORAB - PRRX1,ENSG00000120370,ENSG00000116132,"",105280,3614,rs680084-A,rs680084,0,680084,upstream_gene_variant,1,0.5229,2E-63,62.698970004336,"",0.0978,[0.086-0.109] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:170659114,chr1:170659114:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1q32.1,1,203063025,"",PPFIA4,"","",ENSG00000143847,,,rs4950913-G,rs4950913,0,4950913,non_coding_transcript_exon_variant,0,0.529,6E-36,35.2218487496164,"",0.0742,[0.063-0.086] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:203063025,chr1:203063025:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,1q32.1,1,205722188,"",NUCKS1,"","",ENSG00000069275,,,rs4951258-A,rs4951258,0,4951258,intron_variant,0,0.4039,2E-9,8.69897000433602,"",0.0353,[0.024-0.047] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,1:205722188,chr1:205722188:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2p23.3,2,25937071,"",KIF3C,"","",ENSG00000084731,,,rs6546620-C,rs6546620,0,6546620,intron_variant,0,0.7101,3E-16,15.5228787452803,"",0.0612,[0.046-0.076] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:25937071,chr2:25937071:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2p15,2,61449805,"",USP34,"","",ENSG00000115464,,,rs2694635-T,rs2694635,0,2694635,intron_variant,0,0.6218,2E-8,7.69897000433602,"",0.0334,[0.022-0.045] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:61449805,chr2:61449805:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2p14,2,65057097,"",CEP68,"","",ENSG00000011523,,,rs2540949-T,rs2540949,0,2540949,intron_variant,0,0.3724,1E-33,33,"",0.0722,[0.06-0.084] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:65057097,chr2:65057097:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2p13.3,2,69879700,"",GMCL1,"","",ENSG00000087338,,,rs6747542-C,rs6747542,0,6747542,3_prime_UTR_variant,0,0.5,6E-18,17.2218487496164,"",0.0506,[0.039-0.062] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:69879700,chr2:69879700:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2p11.2,2,86356069,"",U8 - KDM3A,ENSG00000202537,ENSG00000115548,"",8874,84578,rs13387570-C,rs13387570,0,13387570,intergenic_variant,1,0.1787,3E-10,9.52287874528034,"",0.0475,[0.033-0.062] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:86356069,chr2:86356069:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2q22.3,2,144924368,"",TEX41,"","",ENSG00000226674,,,rs11679718-A,rs11679718,0,11679718,intron_variant,0,0.2665,1E-8,8,"",0.0493,[0.032-0.066] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:144924368,chr2:144924368:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2q23.1,2,148042141,"",MBD5,"","",ENSG00000204406,,,rs12992231-A,rs12992231,0,12992231,intron_variant,0,0.381,8E-9,8.09691001300806,"",0.0345,[0.023-0.046] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:148042141,chr2:148042141:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2q31.1,2,174648092,"",WIPF1,"","",ENSG00000115935,,,rs7574892-A,rs7574892,0,7574892,intron_variant,0,0.4713,2E-19,18.698970004336,"",0.0529,[0.041-0.064] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:174648092,chr2:174648092:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2q31.2,2,178548383,"","TTN, TTN-AS1","","","ENSG00000155657, ENSG00000237298",,,rs3731748-A,rs3731748,0,3731748,synonymous_variant,0,0.2164,1E-29,29,"",0.0853,[0.07-0.1] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:178548383,chr2:178548383:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,2q33.1,2,200315300,"",SPATS2L,"","",ENSG00000196141,,,rs3820888-C,rs3820888,0,3820888,intron_variant,0,0.4375,9E-31,30.0457574905607,"",0.0687,[0.057-0.08] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,2:200315300,chr2:200315300:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q21.3,10,67854979,"",DNAJC12 - RNU6-523P,ENSG00000108176,ENSG00000252113,"",16791,3839,rs12360521-G,rs12360521,0,12360521,downstream_gene_variant,1,0.17,3E-16,15.5228787452803,"",0.0772,[0.059-0.096] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:67854979,chr10:67854979:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q22.2,10,73654586,"","SYNPO2L, SYNPO2L-AS1","","","ENSG00000166317, ENSG00000271848",,,rs60212594-C,rs60212594,0,60212594,intron_variant,0,0.1474,8E-41,40.0969100130081,"",0.1105,[0.094-0.127] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:73654586,chr10:73654586:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q22.3,10,76176912,"",LRMDA,"","",ENSG00000148655,,,rs10458662-G,rs10458662,0,10458662,intron_variant,0,0.2601,4E-18,17.397940008672,"",0.0634,[0.049-0.078] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:76176912,chr10:76176912:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q24.33,10,103556539,"",NEURL1,"","",ENSG00000107954,,,rs74154539-A,rs74154539,0,74154539,intron_variant,0,0.1784,9E-77,76.0457574905607,"",0.1426,[0.13-0.16] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:103556539,chr10:103556539:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,10q25.2,10,110816937,"",RBM20,"","",ENSG00000203867,,,rs10749053-C,rs10749053,0,10749053,intron_variant,0,0.8506,7E-10,9.15490195998574,"",0.0554,[0.038-0.073] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,10:110816937,chr10:110816937:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11p15.1,11,19988745,"",NAV2,"","",ENSG00000166833,,,rs4757877-G,rs4757877,0,4757877,intron_variant,0,0.7013,7E-28,27.1549019599857,"",0.0726,[0.06-0.086] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:19988745,chr11:19988745:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11q24.1,11,121783619,"",SORL1 - RNU6-256P,ENSG00000137642,ENSG00000252556,"",149856,220736,rs7946552-A,rs7946552,0,7946552,intron_variant,1,0.7246,6E-10,9.22184874961636,"",0.0405,[0.028-0.053] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:121783619,chr11:121783619:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,11q24.3,11,128894675,"",KCNJ5,"","",ENSG00000120457,,,rs76097649-A,rs76097649,0,76097649,intron_variant,0,0.0905,4E-25,24.397940008672,"",0.1132,[0.092-0.135] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,11:128894675,chr11:128894675:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12p12.1,12,24619033,"",KNOP1P1 - RN7SL38P,ENSG00000256852,ENSG00000240481,"",34484,87755,rs10842383-T,rs10842383,0,10842383,intergenic_variant,1,0.1412,2E-35,34.698970004336,"",0.1056,[0.089-0.122] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:24619033,chr12:24619033:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12p12.1,12,26195496,"",SSPN,"","",ENSG00000123096,,,rs113819537-G,rs113819537,0,113819537,5_prime_UTR_variant,0,0.2716,3E-16,15.5228787452803,"",0.0533,[0.041-0.066] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:26195496,chr12:26195496:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12p11.21,12,32825503,"",PKP2,"","",ENSG00000057294,,,rs12809354-C,rs12809354,0,12809354,intron_variant,0,0.1384,2E-16,15.698970004336,"",0.0689,[0.052-0.085] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:32825503,chr12:32825503:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q13.3,12,56712154,"",PTGES3 - NACA,ENSG00000110958,ENSG00000196531,"",23746,151,rs2860482-C,rs2860482,0,2860482,downstream_gene_variant,1,0.716,7E-19,18.1549019599857,"",0.0581,[0.045-0.071] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:56712154,chr12:56712154:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q15,12,69619635,"",LRRC10 - BEST3,ENSG00000198812,ENSG00000127325,"",8728,23725,rs71454237-A,rs71454237,0,71454237,intergenic_variant,1,0.2032,5E-12,11.301029995664,"",0.0509,[0.036-0.065] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:69619635,chr12:69619635:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q21.2,12,75845075,"",SNORA70 - RN7SL734P,ENSG00000251893,ENSG00000243420,"",155771,112758,rs1565765-T,rs1565765,0,1565765,intron_variant,1,0.4976,4E-13,12.397940008672,"",0.0434,[0.032-0.055] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:75845075,chr12:75845075:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q24.11,12,111193961,"",CUX2,"","",ENSG00000111249,,,rs4766552-A,rs4766552,0,4766552,intron_variant,0,0.2262,3E-8,7.52287874528034,"",0.0538,[0.035-0.073] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:111193961,chr12:111193961:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q24.21,12,114355435,"",TBX5,"","",ENSG00000089225,,,rs883079-T,rs883079,0,883079,3_prime_UTR_variant,0,0.6545,8E-60,59.0969100130081,"",0.1029,[0.091-0.115] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:114355435,chr12:114355435:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q24.31,12,122827504,"",CCDC62,"","",ENSG00000130783,,,rs897393-T,rs897393,0,897393,3_prime_UTR_variant,0,0.8414,1E-9,9,"",0.0513,[0.035-0.068] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:122827504,chr12:122827504:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q24.31,12,124328132,"",NCOR2,"","",ENSG00000196498,,,rs3741508-G,rs3741508,0,3741508,intron_variant,0,0.1967,1E-8,8,"",0.0439,[0.029-0.059] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:124328132,chr12:124328132:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,12q24.33,12,132515028,"",FBRSL1,"","",ENSG00000112787,,,rs4883571-A,rs4883571,0,4883571,intron_variant,0,0.3703,4E-8,7.39794000867204,"",0.0344,[0.022-0.047] unit increase,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,12:132515028,chr12:132515028:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,13q12.12,13,22794695,"",DDX39AP1 - SNORD36,ENSG00000225777,ENSG00000253094,"",88489,8450,rs3904323-T,rs3904323,0,3904323,intergenic_variant,1,0.7348,3E-12,11.5228787452803,"",0.0484,[0.035-0.062] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,13:22794695,chr13:22794695:
2023-01-25,36653681,Miyazawa K,2023-01-19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/36653681,Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction.,Atrial fibrillation,"77,690 European ancestry cases, 1,167,040 European ancestry controls, 67,864 Japanese ancestry cases, 1,026,594 Japanese ancestry controls",,13q34,13,113210523,"",CUL4A,"","",ENSG00000139842,,,rs2316443-A,rs2316443,0,2316443,intron_variant,0,0.2728,2E-8,7.69897000433602,"",0.0378,[0.025-0.051] unit decrease,Illumina [5000630] (imputed),N,atrial fibrillation,http://www.ebi.ac.uk/efo/EFO_0000275,GCST90204201,Genome-wide genotyping array,13:113210523,chr13:113210523:
